crash_record_id,weather_condition,lighting_condition,roadway_surface_cond,prim_contributory_cause,total_vehicles,avg_driver_age,total_people,total_injured
0009fe2f4e51c418c5e9b3ee02b74464aa8c57012ca3c6dd93d4ea83bd9d2dd70a5b9a4a02a73a29dcee77a0732e9902e4c3f510346eb6a57774574fee056e90,UNKNOWN,UNKNOWN,UNKNOWN,IMPROPER OVERTAKING/PASSING,2.0,57.0,3.0,3.0
000a3eb26da0b01a67a7dda6d8099c3a4e388d1c5ca3dbec264c74652f38ab6297364eeb2bb90365977a81f42aaba320611ad9a6f33b3d30c4f85a8962fbc43e,SNOW,"DARKNESS, LIGHTED ROAD",WET,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),1.0,28.0,1.0,1.0
000a643b3c888b9a1bda6247489e997182416b4732b460f849073a36a6116c0756821d9d2aa841fe535afa8ccd0f115a8d4216222827513df68d07b924a1721f,RAIN,DARKNESS,WET,DISREGARDING STOP SIGN,2.0,51.0,3.0,3.0
000a7247e94055c3c517c4ca7cc3e01f384ec1c517c0a9f8d51eb737e1af0fa7339e9f3ece9cd031f1b15a6607cf15be4ed7926807d71a946fac84dfa43bc990,CLEAR,DAYLIGHT,DRY,IMPROPER BACKING,2.0,64.0,3.0,3.0
000ac358a6db6d1330df0cdee84afcf7ba99a449553284e7a435cd076e39e2cf6eefe7666858b4a1c078ed3a7a073c1fbd3b4af004906d35dc4212393a8118e5,CLEAR,DAYLIGHT,DRY,FAILING TO YIELD RIGHT-OF-WAY,2.0,36.5,2.0,2.0
000ad0fe31584d916fe19d35482fee9661c255e7205376599a59f450b1860b598ed4e507310cdc6fefc968e7c4a9ca1621c05e9f3c22c4f0d364f073eda996b6,CLEAR,DUSK,DRY,DISTRACTION - FROM INSIDE VEHICLE,2.0,26.5,2.0,2.0
000ad211aff127995c92c6c76b9de0a8b7d7654600ba13ec338a0f5a13107074ead9cec18c6f6138c504b0cd33820a2609a68ec8a4dcb70e065357297e574504,CLEAR,DAYLIGHT,UNKNOWN,FAILING TO YIELD RIGHT-OF-WAY,3.0,33.0,5.0,5.0
000b0dabf37b95de66c2402a0286617a423bc7845fcccb71f1d2a90897f81fea8ba997ebc36704086b62c726ed0a9bdb09975e01bfa07a56ad25ca99427467f1,CLEAR,DUSK,DRY,FAILING TO YIELD RIGHT-OF-WAY,2.0,37.75,4.0,4.0
000b0e6e730eaf4586294c147cdebfae5968794db3c6a42455ae47bfe0525b885fedb3c2cb1596fe0bbb4997f8be9090523d930ac1a970c3818ae2ef4fe29aa4,CLEAR,DAYLIGHT,DRY,FOLLOWING TOO CLOSELY,2.0,19.0,4.0,4.0
000b26a07ed8ae6cb5f77c7fecbcca05055e57aeb2e636b040820376337de4c576b1fadd17c8b3bb434d2ba6a0ede16685a4985c35445df1b37a3b5d51021816,CLEAR,DAYLIGHT,DRY,FOLLOWING TOO CLOSELY,2.0,33.333333333333336,3.0,3.0
